Experiment,Fold,psnr_roi,ssim_roi,mae,calibration_bias,variance_ratio,psnr_enh,ssim_enh,grad_enh,lpips,lpips_enh,sharpness_pred,sharpness_gt,sharpness_ratio,sharpness_ratio_enh
EXP-500_GUIDED_RESATTENTION_T1T2F,4,24.49006503796883,0.745911404786445,0.1873875479545362,-0.0306986675513844,0.9173539009058116,17.892310952515324,0.607177259794316,1.2070860203712803,0.2622914033614029,0.026305985085009,0.2814373473545689,0.5997624060068767,0.4775243641926228,0.49563979306323
EXP-601_EDM,0,22.094173170526368,0.7044541348032631,0.2402872900058185,0.0258341043053977,1.026972784243727,17.335154575522832,0.5506691412605436,1.4808635934572876,0.1934764333292569,0.027158869089424,0.566207263111112,0.5997624060068767,0.9506887626998564,0.8880344346798333
EXP-601_EDM,1,22.05180564468497,0.699781114093497,0.2424042914888114,0.0364241933893956,1.014281727176714,17.307298082303596,0.5488668632419923,1.4928069738682097,0.1976929868838485,0.0282995877155814,0.5727930167808657,0.5997624060068767,0.962798572311771,0.9047998058792894
EXP-601_EDM,2,21.900841654860177,0.6965831466332204,0.2464525428559928,0.0208091126358524,1.0291852599820543,17.529083138402658,0.5485321556126884,1.500784642902652,0.1862342453764936,0.0274874324313209,0.5811123144904632,0.5997624060068767,0.9756097165493072,0.919038434554043
EXP-601_EDM,3,22.203585288992723,0.6988360389554837,0.2373609469642147,0.0158488265309012,1.009054878154834,17.519721931394052,0.545554386817476,1.524221630629695,0.1874628792877068,0.0313560285331138,0.5807651980478161,0.5997624060068767,0.9733771745156944,0.9398574238779812
EXP-601_EDM,4,21.98163175312998,0.697362166083878,0.2400476648907246,0.0222096325269279,1.0203474616882715,17.2822468231445,0.5405132253881135,1.531198797970947,0.1873011630179256,0.0311021465559355,0.5877924707052805,0.5997624060068767,0.98587557363926,0.9510630456063676
EXP-602_EDM,0,23.906912014168498,0.7305852598864097,0.199519821394065,-0.0002853464945555,0.9887755287376588,18.27707994646759,0.5968998321507961,1.288651895692308,0.2186339484344905,0.0251533662708795,0.3448832284717646,0.5997624060068767,0.5800045512747547,0.6392892415440706
EXP-602_EDM,1,24.379515128875973,0.7357252103146952,0.1906174434045093,0.0073788163239481,0.9529806750214938,18.310697083787694,0.603407656035286,1.2465956342784428,0.2224009771572467,0.0216074724989136,0.335306256448066,0.5997624060068767,0.5687404501531487,0.5784133501573113
EXP-602_EDM,2,23.84152990331311,0.7337706474583052,0.202596522606514,0.0081240196776189,0.990516407263369,18.028048547797045,0.5950425699055473,1.2563684514494038,0.2157929458102789,0.0189634802515224,0.3233649026137359,0.5997624060068767,0.5468278132247637,0.552060854248225
EXP-602_EDM,3,24.114088579227563,0.7344072616821273,0.1954074095830469,0.001225961858914,0.9329703923818788,17.83637684072079,0.596199649726355,1.263385286701726,0.2051922341333126,0.020984161598315,0.3339069583233519,0.5997624060068767,0.5627926183490365,0.5782526526478129
EXP-602_EDM,4,23.99555458298584,0.7310232440403934,0.1974121622617899,0.0104639485546645,0.9634535877907098,18.20738875383109,0.6005805295045039,1.2592001495837113,0.209583794677559,0.0206394645481588,0.3306406056419661,0.5997624060068767,0.5577900268711569,0.591144686270176
EXP-703_EDM_GAN_VGG_LPIPS,0,24.52365157770692,0.7389244484652506,0.1900770993531319,-0.0054331499001747,0.8975433667394567,17.618161294044416,0.595397782382903,1.240767258319423,0.2327296261470544,0.0283675065348937,0.3028131246263968,0.5997624060068767,0.5146860019848358,0.5579011074084195
EXP-703_EDM_GAN_VGG_LPIPS,1,24.505795781049997,0.742785679471077,0.1893566954000113,-0.0221276309917261,0.8736730073397577,17.24428451412775,0.5892239635823062,1.2413349702954544,0.229756088915897,0.0265594140232199,0.3004637253234239,0.5997624060068767,0.509679443255268,0.5366601918941443
